Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;BR;2008;p99.8p99.9;728978.553573;1242241.31833;;;983950.0625;0.0258912165;0.0325111821;616632.25
;BR;2008;p99.91p100;3624831.16957;6489075.69856;3.75398731232;3.69285202026;1757199.0;0.115869197;0.1528453183;965594.9375
;BR;2008;p99.91p99.92;1004951.75442;1833115.20912;;;1757199.0;0.0035692989;0.0047975173;965594.9375
;BR;2008;p99.92p100;3952316.09892;7071070.75552;3.77220869064;3.69368600845;1914367.0;0.1122998982;0.1480478009;1047745.875
;BR;2008;p99.92p99.93;1098654.02951;2008266.96987;;;1914367.0;0.0039021024;0.0052559138;1047745.875
;BR;2008;p99.93p100;4359982.11045;7794328.4463;3.77697944641;3.69454908371;2109683.25;0.1083977959;0.1427918872;1154356.875
;BR;2008;p99.93p99.94;1221597.27764;2229355.72495;;;2109683.25;0.0043387613;0.0058345338;1154356.875
;BR;2008;p99.94p100;4883046.25842;8721823.90562;3.7683866024;3.69544744492;2360153.75;0.1040590347;0.1369573534;1295792.25
;BR;2008;p99.94p99.95;1387154.35227;2518866.72014;;;2360153.75;0.0049267723;0.0065922244;1295792.25
;BR;2008;p99.95p100;5582224.63351;9962415.34236;3.74861216545;3.69638729095;2695176.25;0.0991322623;0.1303651291;1489144.375
;BR;2008;p99.95p99.96;1618329.7657;2917699.46331;;;2695176.25;0.0057478407;0.0076360251;1489144.375
;BR;2008;p99.96p100;6573198.34397;11723594.3173;3.72417163849;3.69738078117;3170783.5;0.0933844215;0.1227291041;1765009.5
;BR;2008;p99.96p99.97;1959030.21007;3509870.83781;;;3170783.5;0.0069579105;0.0091858199;1765009.5
;BR;2008;p99.97p100;8111254.39646;14461502.1476;3.71150016785;3.69844555855;3910156.75;0.0864265111;0.1135432842;2185438.25
;BR;2008;p99.97p99.98;2509018.86628;4504143.48567;;;3910156.75;0.0089113116;0.0117879696;2185438.25
;BR;2008;p99.98p100;10912372.0987;19440181.555;3.75303983688;3.69961357117;5254652.0;0.077515199;0.101755315;2907609.0
;BR;2008;p99.98p99.99;3602407.42815;6641596.39767;;;5254652.0;0.0127947126;0.017381981;2907609.0
;BR;2008;p99.991p100;19714460.8337;34815488.1792;3.96343302727;3.70111322403;9406761.0;0.0630180728;0.082005275;4974087.0
;BR;2008;p99.991p99.992;5182142.97193;9814408.64524;;;9406761.0;0.0018405478;0.0025685672;4974087.0
;BR;2008;p99.992p100;21531000.5512;37940623.139;3.98273253441;3.7012693882;10250706.0;0.061177525;0.0794367079;5406087.5
;BR;2008;p99.992p99.993;5667787.34083;10754918.8646;;;10250706.0;0.0020130347;0.0028147118;5406087.5
;BR;2008;p99.993p100;23797173.8388;41824295.1175;3.99820256233;3.701431036;11299493.0;0.0591644903;0.076621996;5951968.0
;BR;2008;p99.993p99.994;6290834.90143;11942098.1355;;;11299493.0;0.0022343232;0.0031254131;5951968.0
;BR;2008;p99.994p100;26714896.9641;46804661.2739;4.00940227509;3.70159888268;12644444.0;0.056930167;0.0734965829;6663062.0
;BR;2008;p99.994p99.995;7119015.56815;13496683.6857;;;12644444.0;0.0025284691;0.0035322697;6663062.0
;BR;2008;p99.995p100;30634073.2567;53466256.8035;4.01614427567;3.70177483559;14443411.0;0.054401698;0.0699643132;7627732.5
;BR;2008;p99.995p99.996;8274828.39191;15638292.4528;;;14443411.0;0.0029389805;0.0040927585;7627732.5
;BR;2008;p99.996p100;36223884.4305;62923247.7507;4.01895856857;3.70196080208;16997276.0;0.0514627174;0.0658715545;9013251.0
;BR;2008;p99.996p99.997;10007738.3574;18818072.3456;;;16997276.0;0.0035544601;0.0049249511;9013251.0
;BR;2008;p99.997p100;44962599.7814;77624973.0914;4.02037000656;3.70215964317;20967484.0;0.0479082573;0.0609466035;11183697.0
;BR;2008;p99.997p99.998;12930508.837;24157010.8952;;;20967484.0;0.0045925439;0.0063222256;11183697.0
;BR;2008;p99.998p100;60978645.4858;104358954.563;4.0286860466;3.70237755775;28187010.0;0.0433157135;0.0546243782;15136113.0
;BR;2008;p99.998p99.999;19201451.2288;35634476.8784;;;28187010.0;0.0068198019;0.009326038;15136113.0
;BR;2008;p99.99p99.991;4793219.66234;9048272.82092;;;8710916.0;0.0017024134;0.0023680588;4624005.0
;BR;2008;p99.9p99.91;932146.283688;1690437.55014;;;1627611.5;0.0033107148;0.0044241101;901238.625
;BR;2008;p99p99.1;246117.169383;320185.074512;;;308484.96875;0.0087413723;0.0083796885;237952.71875
;BR;2007;p0p100;27566.3013273;37439.3511504;;;0.0;1.0;1.0;0.0
;BR;2007;p0p50;6862.5285197;8805.10598617;;;0.0;0.1244731464;0.1175915943;0.0
;BR;2007;p50p90;25131.0681452;31152.3819931;;;17258.6875;0.3646636209;0.332830362;13775.6816406
;BR;2007;p90p99;87306.0880422;108649.179787;;;63272.6328125;0.2850483656;0.2611808181;50844.0
;BR;2007;p99p100;622488.117998;1079740.70293;2.9475440979;3.84101724625;281108.0;0.2258148856;0.2883972798;211188.734375
;BR;2007;p99.9p100;2969753.90336;6130137.15735;3.52317810059;4.20992851257;1456114.375;0.1077313154;0.1637351338;842919.0625
;BR;2007;p99.99p100;15495581.5518;35687739.2425;3.58036541939;4.28276395798;8332876.0;0.0562120444;0.0953214683;4327933.0
;BR;2007;p99.999p100;82711074.6355;208674524.956;3.72167611122;4.29554080963;48579336.0;0.030004415;0.0557366831;22224146.0
;BR;2007;p0p10;49.3153889912;731.882888815;;;0.0;0.0001788974;0.0019548493;0.0
;BR;2007;p10p20;4103.62656541;5482.98907076;;;2289.73901367;0.014886388;0.0146449896;1303.69226074
;BR;2007;p20p30;7537.72008082;9527.35602229;;;7447.22998047;0.0273439661;0.0254474389;5779.70263672
;BR;2007;p30p40;10381.2592427;12939.9343208;;;11898.1289062;0.0376592388;0.0345623894;9516.95410156
;BR;2007;p40p50;12240.7213206;15343.3676282;;;13500.4980469;0.0444046562;0.0409819272;10733.7333984
;BR;2007;p50p60;15555.3568839;19343.6103993;;;17258.6875;0.0564288865;0.0516665215;13775.6816406
;BR;2007;p60p70;19868.2866626;24804.4905368;;;21792.1503906;0.0720745465;0.0662524584;17469.4765625
;BR;2007;p70p80;26144.9000208;32479.0999163;;;28168.2285156;0.0948436996;0.0867512361;22466.9628906
;BR;2007;p80p90;38955.7290134;47982.3271202;;;38306.6054688;0.1413164884;0.1281601461;31027.8769531
;BR;2007;p90p100;140826.097468;205758.454133;2.76976823807;3.25193452835;63272.6328125;0.5108632307;0.5495780439;50844.0
;BR;2007;p0p1;2.5627103295;40.3966462966;;;0.0;9.297e-07;1.07899e-05;0.0
;BR;2007;p1p2;7.6881313018;124.758244179;;;81.498008728;2.789e-06;3.33228e-05;5.1254205704
;BR;2007;p2p3;12.813551334;218.377084276;;;169.530471802;4.6483e-06;5.83282e-05;10.2508411407
;BR;2007;p3p4;17.9389726197;327.976552573;;;269.851989746;6.5076e-06;8.76021e-05;15.3762617111
;BR;2007;p4p5;23.0643939055;462.392964379;;;390.197387695;8.3669e-06;0.0001235045;20.5016822815
;BR;2007;p5p6;28.1898139377;632.859736043;;;540.551757812;1.02262e-05;0.000169036;25.6271038055
;BR;2007;p6p7;33.3152339698;853.321987952;;;733.449401856;1.20855e-05;0.0002279211;30.7525234222
;BR;2007;p7p8;38.440654002;1140.78212022;;;984.303771973;1.39448e-05;0.0003047014;35.8779449463
;BR;2007;p8p9;43.5660740342;1515.67720552;;;1311.76904297;1.58041e-05;0.0004048353;41.003364563
;BR;2007;p9p10;285.574354478;2002.28634672;;;1738.13305664;0.0001035955;0.000534808;46.1287841797
;BR;2007;p10p11;1611.5302237;2624.42762485;;;2289.73901367;0.0005846015;0.0007009811;1303.69226074
;BR;2007;p11p12;2272.56168462;3358.8226519;;;2978.49633789;0.0008243985;0.000897137;1933.25256348
;BR;2007;p12p13;2958.01694613;4137.10900569;;;3746.30615234;0.0010730554;0.0011050162;2615.80810547
;BR;2007;p13p14;3616.43039078;4895.70054176;;;4524.43066406;0.0013119027;0.001307635;3295.55126953
;BR;2007;p14p15;4206.43042955;5582.98112087;;;5254.84082031;0.0015259321;0.0014912067;3925.7019043
;BR;2007;p15p16;4699.01670756;6162.0214888;;;5892.78759766;0.0017046236;0.0016458676;4470.67626953
;BR;2007;p16p17;5080.067084;6613.58185668;;;6409.65917969;0.0018428541;0.0017664788;4908.47460938
;BR;2007;p17p18;5353.11257546;6939.45880404;;;6796.14550781;0.0019419045;0.0018535201;5233.31347656
;BR;2007;p18p19;5542.44765417;7166.23708772;;;7065.77294922;0.0020105881;0.0019140922;5458.55615234
;BR;2007;p19p20;5696.65195814;7349.55052525;;;7258.89404297;0.0020665275;0.001963055;5620.01318359
;BR;2007;p20p21;5887.1240351;7572.59486988;;;7447.22998047;0.0021356235;0.0020226298;5779.70263672
;BR;2007;p21p22;6152.7169411;7882.10254579;;;7713.31640625;0.0022319704;0.0021052989;6007.88378906
;BR;2007;p22p23;6482.70893994;8267.7055196;;;8063.57861328;0.0023516789;0.0022082929;6308.28320312
;BR;2007;p23p24;6861.49591006;8712.95388734;;;8481.77929688;0.0024890883;0.0023272182;6665.26416016
;BR;2007;p24p25;7273.67205473;9201.04296201;;;8951.27246094;0.0026386101;0.0024575861;7063.28613281
;BR;2007;p25p26;7704.25582553;9714.94490066;;;9455.11621094;0.0027948094;0.0025948486;7487.11425781
;BR;2007;p26p27;8138.96526651;10237.5813016;;;9976.2265625;0.0029525054;0.0027344441;7922.06787109
;BR;2007;p27p28;8564.53892819;10752.0245677;;;10497.5634766;0.0031068872;0.0028718512;8354.31738281
;BR;2007;p28p29;8969.10556048;11241.7402398;;;11002.3525391;0.0032536485;0.0030026536;8771.22949219
;BR;2007;p29p30;9342.61734652;11690.8694285;;;11474.3466797;0.0033891443;0.0031226154;9161.76855469
;BR;2007;p30p31;9677.13615802;12084.9880672;;;11898.1289062;0.0035104949;0.0032278839;9516.95410156
;BR;2007;p31p32;9965.26492764;12415.8681529;;;12261.1982422;0.003615017;0.0033162616;9829.57421875
;BR;2007;p32p33;10200.289493;12682.1907993;;;12559.7314453;0.003700275;0.003387396;10092.0507812
;BR;2007;p33p34;10378.5828843;12885.8728808;;;12794.1542969;0.003764953;0.0034417992;10299.0058594
;BR;2007;p34p35;10500.5295564;13032.2056337;;;12967.9667969;0.0038091906;0.0034808845;10448.6875
;BR;2007;p35p36;10571.3783785;13130.5171497;;;13088.3613281;0.0038348918;0.0035071434;10543.7578125
;BR;2007;p36p37;10602.2490201;13194.9499356;;;13166.9316406;0.0038460905;0.0035243533;10592.21875
;BR;2007;p37p38;10611.3148401;13245.3709702;;;13220.5195312;0.0038493793;0.0035378207;10608.5048828
;BR;2007;p38p39;10625.2033555;13308.4526167;;;13272.1992188;0.0038544175;0.0035546697;10614.7617188
;BR;2007;p39p40;10680.6438136;13418.9270022;;;13352.4462891;0.0038745292;0.0035841772;10642.3701172
;BR;2007;p40p41;10822.3093664;13617.4346558;;;13500.4980469;0.00392592;0.0036371984;10733.7333984
;BR;2007;p41p42;11062.011574;13914.2730029;;;13751.3203125;0.0040128748;0.0037164835;10927.8466797
;BR;2007;p42p43;11372.2095983;14284.1757371;;;14089.3789062;0.0041254028;0.003815284;11207.890625
;BR;2007;p43p44;11723.5564973;14699.8943001;;;14486.5703125;0.004252858;0.0039263219;11543.3359375
;BR;2007;p44p45;12089.8117763;15136.5197835;;;14916.6464844;0.0043857214;0.0040429439;11906.1884766
;BR;2007;p45p46;12449.1815249;15572.5926073;;;15356.2207031;0.004516087;0.0041594184;12272.1875
;BR;2007;p46p47;12785.9345396;15991.4789383;;;15785.9941406;0.0046382481;0.0042713024;12622.2734375
;BR;2007;p47p48;13092.3740193;16383.0286688;;;16192.2666016;0.0047494126;0.0043758848;12944.3701172
;BR;2007;p48p49;13371.2367185;16745.6239183;;;16568.7832031;0.0048505734;0.0044727335;13235.5615234
;BR;2007;p49p50;13638.5875913;17088.6546696;;;16918.9726562;0.004947558;0.0045643565;13504.7138672
;BR;2007;p50p51;13924.5360714;17433.7635605;;;17258.6875;0.0050512892;0.0046565346;13775.6816406
;BR;2007;p51p52;14245.7966425;17797.7012324;;;17612.2226562;0.0051678303;0.0047537419;14079.6787109
;BR;2007;p52p53;14595.2937933;18183.372199;;;17986.8046875;0.0052946145;0.0048567541;14416.6132812
;BR;2007;p53p54;14964.0175427;18591.9445422;;;18383.7617188;0.0054283733;0.0049658832;14777.1650391
;BR;2007;p54p55;15343.8564689;19024.192334;;;18804.0820312;0.0055661644;0.005081336;15152.6982422
;BR;2007;p55p56;15728.1265753;19480.3631381;;;19248.3027344;0.0057055629;0.0052031786;15535.7197266
;BR;2007;p56p57;16112.2233882;19960.0054125;;;19716.3515625;0.0058448985;0.0053312904;15920.4580078
;BR;2007;p57p58;16494.4704529;20461.7558138;;;20207.3632812;0.0059835631;0.0054653073;16303.6162109
;BR;2007;p58p59;16877.189903;20983.0776868;;;20719.4355469;0.0061223991;0.0056045516;16685.3164062
;BR;2007;p59p60;17268.0580009;21519.928074;;;21249.3398438;0.0062641911;0.0057479437;17070.3046875
;BR;2007;p60p61;17680.5518505;22066.925082;;;21792.1503906;0.0064138281;0.0058940458;17469.4765625
;BR;2007;p61p62;18121.6917659;22623.0627658;;;22343.1367188;0.0065738568;0.0060425894;17896.5878906
;BR;2007;p62p63;18587.4522021;23192.8199345;;;22905.2636719;0.0067428169;0.0061947708;18350.9003906
;BR;2007;p63p64;19072.7062374;23780.893323;;;23483.4375;0.0069188485;0.0063518444;18827.25
;BR;2007;p64p65;19572.5734119;24391.3485531;;;24082.0957031;0.0071001812;0.0065148962;19320.5898438
;BR;2007;p65p66;20082.7419252;25027.1842825;;;24704.8574219;0.0072852508;0.006684727;19826.2578125
;BR;2007;p66p67;20599.9333202;25689.7516508;;;25354.0078125;0.0074728681;0.0068616979;20340.3710938
;BR;2007;p67p68;21122.527623;26377.9505688;;;26029.8261719;0.0076624453;0.0070455149;20860.3554688
;BR;2007;p68p69;21651.4298111;27087.1644985;;;26729.6601562;0.0078543108;0.007234945;21385.6894531
;BR;2007;p69p70;22191.2584786;27807.8047088;;;27446.6875;0.00805014;0.007427427;21918.90625
;BR;2007;p70p71;22751.5742947;28525.4183669;;;28168.2285156;0.0082534011;0.0076191006;22466.9628906
;BR;2007;p71p72;23344.1406826;29240.8161564;;;28881.8945312;0.0084683616;0.0078101824;23041.5859375
;BR;2007;p72p73;23979.7249483;29975.7400891;;;29602.9628906;0.0086989272;0.0080064796;23653.8554688
;BR;2007;p73p74;24669.3254557;30755.4503695;;;30355.96875;0.0089490879;0.0082147392;24314.59375
;BR;2007;p74p75;25423.981646;31605.9324586;;;31166.7382812;0.0092228483;0.0084419018;25034.9101562
;BR;2007;p75p76;26254.0474879;32552.3262659;;;32061.1679688;0.0095239645;0.0086946823;25825.6523438
;BR;2007;p76p77;27168.0413223;33616.2604818;;;33063.1953125;0.0098555265;0.0089788577;26696.4902344
;BR;2007;p77p78;28170.8564455;34811.6300492;;;34191.4609375;0.0102193095;0.0092981393;27654.5
;BR;2007;p78p79;29260.9909801;36137.8840521;;;35454.015625;0.0106147686;0.0096523799;28701.9375
;BR;2007;p79p80;30426.3169448;37569.5408735;;;36839.9882812;0.0110375043;0.0100347735;29832.8535156
;BR;2007;p80p81;31640.9686725;39047.2828798;;;38306.6054688;0.0114781335;0.0104294764;31027.8769531
;BR;2007;p81p82;32895.5395326;40542.3647986;;;39789.6835938;0.0119332438;0.0108288107;32260.1582031
;BR;2007;p82p83;34212.6706483;42092.3779424;;;41303.9882812;0.0124110486;0.0112428172;33541.2265625
;BR;2007;p83p84;35624.9026978;43753.5680642;;;42899.046875;0.0129233524;0.0116865188;34899.8164062
;BR;2007;p84p85;37173.4076614;45597.0940089;;;44638.1992188;0.0134850908;0.0121789221;36372.53125
;BR;2007;p85p86;38909.4316515;47710.6909221;;;46600.7226562;0.0141148539;0.0127434609;38005.3515625
;BR;2007;p86p87;40895.2550868;50198.2553198;;;48882.7851562;0.0148352347;0.013407886;39854.9648438
;BR;2007;p87p88;43203.489249;53174.1685596;;;51595.1875;0.0156725738;0.0142027484;41989.1679688
;BR;2007;p88p89;45912.1470439;56745.0015418;;;54853.078125;0.0166551713;0.0151565131;44484.6601562
;BR;2007;p89p90;49089.4778904;60962.4671646;;;58747.171875;0.0178077854;0.0162829924;47418.4375
;BR;2007;p90p91;52765.8838956;65739.9007335;;;63272.6328125;0.0191414449;0.0175590385;50844.0
;BR;2007;p91p92;56998.9139226;71015.8576598;;;68286.015625;0.0206770264;0.0189682394;54778.4804688
;BR;2007;p92p93;61957.6922081;76950.0757424;;;73853.4375;0.0224758815;0.020553261;59338.7734375
;BR;2007;p93p94;67915.2421007;83848.5924083;;;80203.5078125;0.0246370528;0.0223958455;64740.2851562
;BR;2007;p94p95;75324.4425492;92275.3435947;;;87739.828125;0.0273248274;0.0246466193;71326.578125
;BR;2007;p95p96;85007.4905846;103372.594733;;;97234.921875;0.0308374669;0.0276106801;79688.6640625
;BR;2007;p96p97;98662.657876;119768.481019;;;110332.546875;0.0357910395;0.0319899991;90954.109375
;BR;2007;p97p98;120581.339718;148711.915757;;;131074.703125;0.0437422991;0.0397207513;107625.171875
;BR;2007;p98p99;166559.194542;216161.072306;;;171703.390625;0.0604213066;0.0577363297;136794.78125
;BR;2007;p1p100;27844.7229295;37817.1183676;5432.67089844;464.025054932;81.498008728;0.9999990703;0.9999892101;5.1254205704
;BR;2007;p2p100;28128.774305;38201.7342872;2744.04541016;225.3384552;169.530471802;0.9999962814;0.9999558874;10.2508411407
;BR;2007;p3p100;28418.6295705;38593.3152893;1848.21447754;143.016601562;269.851989746;0.9999916331;0.9998975591;15.3762617111
;BR;2007;p4p100;28714.4700975;38991.9125678;1400.59094238;99.9286880493;390.197387695;0.9999851255;0.999809957;20.5016822815
;BR;2007;p5p100;29016.4848944;39397.4864585;1132.25769043;72.8838348389;540.551757812;0.9999767587;0.9996864525;25.6271038055
;BR;2007;p6p100;29324.8710123;39809.8761044;953.57611084;54.2776031494;733.449401856;0.9999665325;0.9995174165;30.7525234222
;BR;2007;p7p100;29639.8339777;40228.7637829;826.129638672;40.8702735901;984.303771973;0.999954447;0.9992894954;35.8779449463
;BR;2007;p8p100;29961.5882529;40653.6331486;730.710510254;30.9914569855;1311.76904297;0.9999405022;0.998984794;41.003364563
;BR;2007;p9p100;30290.3577274;41083.720577;656.647644043;23.6366939545;1738.13305664;0.9999246981;0.9985799587;46.1287841797
;BR;2007;p10p100;30623.7442093;41517.9587352;23.4900093079;18.1321792603;2289.73901367;0.9998211026;0.9980451507;1303.69226074
;BR;2007;p11p100;30949.7241422;41954.9647031;16.009147644;14.0859546661;2978.49633789;0.9992365011;0.9973441697;1933.25256348
;BR;2007;p12p100;31275.6009882;42393.5572264;11.9563817978;11.3160953522;3746.30615234;0.9984121026;0.9964470327;2615.80810547
;BR;2007;p13p100;31601.0904584;42833.2865143;9.58901500702;9.46711063385;4524.43066406;0.9973390471;0.9953420164;3295.55126953
;BR;2007;p14p100;31926.4934808;43274.421237;8.13268375397;8.23515319824;5254.84082031;0.9960271444;0.9940343815;3925.7019043
;BR;2007;p15p100;32252.6118684;43717.8499436;7.21425819397;7.41887426376;5892.78759766;0.9945012123;0.9925431748;4470.67626953
;BR;2007;p16p100;32580.6308572;44164.9431397;6.6376285553;6.89037322998;6409.65917969;0.9927965887;0.9908973072;4908.47460938
;BR;2007;p17p100;32911.962951;44617.3691776;6.28893375397;6.56509923935;6796.14550781;0.9909537346;0.9891308284;5233.31347656
;BR;2007;p18p100;33248.0464907;45076.8558907;6.09099674225;6.37960720062;7065.77294922;0.98901183;0.9872773084;5458.55615234
;BR;2007;p19p100;33590.0909211;45544.8882208;5.9768705368;6.2743563652;7258.89404297;0.987001242;0.9853632161;5620.01318359
;BR;2007;p20p100;33938.7589116;46022.3299452;5.87205982208;6.17979192734;7447.22998047;0.9849347146;0.9834001612;5779.70263672
;BR;2007;p21p100;34293.8428992;46509.0354575;5.70814037323;6.02970647812;7713.31640625;0.9827990911;0.9813775315;6007.88378906
;BR;2007;p22p100;34654.6265657;47004.2525509;5.49351167679;5.82920503616;8063.57861328;0.9805671207;0.9792722326;6308.28320312
;BR;2007;p23p100;35020.4956253;47507.3245894;5.25417947769;5.60110378265;8481.77929688;0.9782154418;0.9770639397;6665.26416016
;BR;2007;p24p100;35391.0087767;48017.7768313;5.01055860519;5.36435222626;8951.27246094;0.9757263534;0.9747367214;7063.28613281
;BR;2007;p25p100;35765.9066014;48535.3332874;4.7769947052;5.13323497772;9455.11621094;0.9730877433;0.9722791354;7487.11425781
;BR;2007;p26p100;36145.118101;49059.9331351;4.56258630753;4.91768455505;9976.2265625;0.970292934;0.9696842868;7922.06787109
;BR;2007;p27p100;36528.76403;49591.746177;4.37244129181;4.72411966324;10497.5634766;0.9673404286;0.9669498428;8354.31738281
;BR;2007;p28p100;36917.1560485;50131.1867556;4.20889186859;4.55640602112;11002.3525391;0.9642335415;0.9640779916;8771.22949219
;BR;2007;p29p100;37310.7905593;50678.9254384;4.0724439621;4.41671562195;11474.3466797;0.9609798929;0.961075338;9161.76855469
;BR;2007;p30p100;37710.3358901;51235.8976666;3.96243739128;4.30621480942;11898.1289062;0.9575907486;0.9579527226;9516.95410156
;BR;2007;p31p100;38116.6141501;51803.3021562;3.87774825096;4.2249789238;12261.1982422;0.9540802537;0.9547248387;9829.57421875
;BR;2007;p32p100;38530.6045783;52382.5291301;3.81791615486;4.17067289352;12559.7314453;0.9504652366;0.9514085772;10092.0507812
;BR;2007;p33p100;38953.4451035;52975.0714899;3.78225302696;4.14056825638;12794.1542969;0.9467649617;0.9480211811;10299.0058594
;BR;2007;p34p100;39386.3975612;53582.4835886;3.76950669289;4.13191080093;12967.9667969;0.9430000087;0.9445793819;10448.6875
;BR;2007;p35p100;39830.7955326;54206.3340204;3.77766609192;4.14156770706;13088.3613281;0.9391908181;0.9410984975;10543.7578125
